duration,u,w
5,4.892919459832262,1.8984837238828414
10,7.755988241274182,3.462260138553838
15,9.507452435228206,4.478862454852061
20,10.810765440688568,5.007684945398063
30,12.564117349694564,5.356536061487529
45,14.835755076701641,5.571915872148396
60,17.04053672913785,6.2840268131613115
90,19.245340115223073,7.7411611792124955
180,22.858734115581402,8.314070402234957
270,25.408149226531595,8.13357569752207
360,27.554023834900637,8.258537393273516
450,28.938073668397486,8.240661132598287
600,31.155736090132596,8.73908095353424
720,32.76642678408485,8.942815220449992
720,32.76642678408485,8.942815220449992
1080,36.60603682179931,9.290284704154338
1440,39.11544716650318,10.129629592690515
2880,46.62869409892922,15.042027802667416
4320,51.221808607452076,17.30496318705318
5760,53.60151041648576,18.677084164381903
7200,55.54964376783802,19.527086352491544
8640,57.752138076546096,20.580176867490334
