start,end,duration,rain_sum,max_return_period,max_return_period_duration
2007-09-18 11:09:00,2007-09-18 21:29:00,0 days 10:20:00.000000000,26.5,0.2,360
2007-09-27 02:02:00,2007-09-27 08:46:00,0 days 06:44:00.000000000,20.3,0.2,120
2007-09-28 00:07:00,2007-09-28 05:43:00,0 days 05:36:00.000000000,17.6,0.2,8640
2007-10-05 07:33:00,2007-10-05 07:35:00,0 days 00:02:00.000000000,0.3,0.1,60
2007-10-05 17:03:00,2007-10-05 17:29:00,0 days 00:26:00.000000000,2.5,0.1,60
2007-10-06 03:18:00,2007-10-06 03:37:00,0 days 00:19:00.000000000,0.4,0.1,60
2007-10-16 11:32:00,2007-10-16 11:32:00,0 days 00:00:00.000000000,0.2,0.1,60
2007-10-18 09:44:00,2007-10-18 11:07:00,0 days 01:23:00.000000000,0.4,0.1,60
2007-10-23 19:04:00,2007-10-23 20:15:00,0 days 01:11:00.000000000,4.8,0.1,60
2007-10-28 05:51:00,2007-10-28 11:28:00,0 days 05:37:00.000000000,15.6,0.2,180
2007-11-06 21:47:00,2007-11-06 21:47:00,0 days 00:00:00.000000000,0.1,0.1,60
2007-11-09 09:51:00,2007-11-09 09:52:00,0 days 00:01:00.000000000,0.2,0.1,60
2007-11-10 18:20:00,2007-11-10 18:20:00,0 days 00:00:00.000000000,0.1,0.1,60
2007-11-11 18:11:00,2007-11-11 18:11:00,0 days 00:00:00.000000000,0.1,0.1,60
2007-11-18 11:58:00,2007-11-18 15:35:00,0 days 03:37:00.000000000,7.6,0.1,60
2007-11-25 11:11:00,2007-11-25 14:09:00,0 days 02:58:00.000000000,0.3,0.1,60
2007-12-03 09:50:00,2007-12-03 10:12:00,0 days 00:22:00.000000000,0.9,0.1,60
2007-12-07 22:01:00,2007-12-08 04:42:00,0 days 06:41:00.000000000,16.7,0.1,60
2007-12-09 19:07:00,2007-12-09 23:12:00,0 days 04:05:00.000000000,5.9,0.1,60
2008-01-03 08:31:00,2008-01-03 11:52:00,0 days 03:21:00.000000000,0.5,0.1,60
2008-01-06 19:03:00,2008-01-06 19:21:00,0 days 00:18:00.000000000,0.2,0.1,60
2008-01-13 05:20:00,2008-01-13 17:42:00,0 days 12:22:00.000000000,4.1,0.1,60
2008-01-17 09:32:00,2008-01-17 20:01:00,0 days 10:29:00.000000000,3.8,0.1,60
2008-01-18 00:34:00,2008-01-18 00:36:00,0 days 00:02:00.000000000,0.0,0.1,60
2008-01-18 15:11:00,2008-01-18 15:12:00,0 days 00:01:00.000000000,0.0,0.1,60
2008-02-02 11:47:00,2008-02-02 12:51:00,0 days 01:04:00.000000000,0.6,0.1,60
2008-02-05 04:05:00,2008-02-05 07:24:00,0 days 03:19:00.000000000,2.3,0.1,60
2008-02-06 15:17:00,2008-02-06 15:17:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-02-07 06:18:00,2008-02-07 06:26:00,0 days 00:08:00.000000000,0.1,0.1,60
2008-03-01 12:56:00,2008-03-01 13:42:00,0 days 00:46:00.000000000,1.7,0.1,60
2008-03-01 17:55:00,2008-03-01 22:47:00,0 days 04:52:00.000000000,1.4,0.1,60
2008-03-02 07:57:00,2008-03-02 08:04:00,0 days 00:07:00.000000000,0.0,0.1,60
2008-03-03 23:57:00,2008-03-04 01:56:00,0 days 01:59:00.000000000,0.7,0.1,60
2008-03-04 11:43:00,2008-03-04 11:48:00,0 days 00:05:00.000000000,0.0,0.1,60
2008-03-04 16:02:00,2008-03-04 20:00:00,0 days 03:58:00.000000000,5.9,0.1,60
2008-03-08 06:16:00,2008-03-08 09:38:00,0 days 03:22:00.000000000,1.2,0.1,60
2008-03-11 09:27:00,2008-03-11 11:26:00,0 days 01:59:00.000000000,1.6,0.1,60
2008-03-12 15:38:00,2008-03-12 17:49:00,0 days 02:11:00.000000000,0.9,0.1,60
2008-03-16 16:13:00,2008-03-16 17:42:00,0 days 01:29:00.000000000,2.0,0.1,60
2008-03-17 12:42:00,2008-03-17 12:42:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-03-20 10:28:00,2008-03-20 10:28:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-03-22 02:03:00,2008-03-22 04:48:00,0 days 02:45:00.000000000,3.0,0.1,60
2008-03-23 18:30:00,2008-03-24 01:11:00,0 days 06:41:00.000000000,2.9,0.1,60
2008-03-24 15:48:00,2008-03-24 16:15:00,0 days 00:27:00.000000000,0.2,0.1,60
2008-03-27 16:07:00,2008-03-27 19:00:00,0 days 02:53:00.000000000,1.0,0.1,60
2008-03-28 06:15:00,2008-03-28 09:02:00,0 days 02:47:00.000000000,0.5,0.1,60
2008-03-28 20:30:00,2008-03-28 22:29:00,0 days 01:59:00.000000000,0.2,0.1,60
2008-03-29 17:29:00,2008-03-29 17:29:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-04-02 10:04:00,2008-04-02 11:03:00,0 days 00:59:00.000000000,3.2,0.1,60
2008-04-07 07:44:00,2008-04-07 16:35:00,0 days 08:51:00.000000000,1.9,0.1,60
2008-04-11 17:29:00,2008-04-11 17:30:00,0 days 00:01:00.000000000,0.0,0.1,60
2008-04-15 08:34:00,2008-04-15 10:55:00,0 days 02:21:00.000000000,0.4,0.1,60
2008-04-17 01:37:00,2008-04-17 07:52:00,0 days 06:15:00.000000000,4.7,0.1,60
2008-04-18 15:18:00,2008-04-18 16:26:00,0 days 01:08:00.000000000,0.6,0.1,60
2008-04-18 23:28:00,2008-04-18 23:29:00,0 days 00:01:00.000000000,0.0,0.1,60
2008-04-19 05:55:00,2008-04-19 06:52:00,0 days 00:57:00.000000000,0.9,0.1,60
2008-04-19 15:06:00,2008-04-19 19:56:00,0 days 04:50:00.000000000,1.9,0.1,60
2008-04-21 14:15:00,2008-04-21 18:22:00,0 days 04:07:00.000000000,19.8,0.2,60
2008-04-25 11:25:00,2008-04-25 12:46:00,0 days 01:21:00.000000000,2.5,0.1,60
2008-04-26 11:48:00,2008-04-26 14:49:00,0 days 03:01:00.000000000,2.5,0.1,60
2008-04-28 16:00:00,2008-04-28 16:00:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-04-29 14:10:00,2008-04-29 18:44:00,0 days 04:34:00.000000000,1.5,0.1,60
2008-05-01 12:09:00,2008-05-01 16:00:00,0 days 03:51:00.000000000,3.1,0.1,60
2008-05-04 13:10:00,2008-05-05 01:54:00,0 days 12:44:00.000000000,1.7,0.1,60
2008-05-05 11:03:00,2008-05-05 15:14:00,0 days 04:11:00.000000000,2.1,0.1,60
2008-05-05 19:26:00,2008-05-05 19:26:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-05-05 23:34:00,2008-05-06 03:39:00,0 days 04:05:00.000000000,0.3,0.1,60
2008-05-08 10:51:00,2008-05-08 10:51:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-05-15 14:23:00,2008-05-15 15:25:00,0 days 01:02:00.000000000,1.3,0.1,60
2008-05-16 13:04:00,2008-05-16 18:30:00,0 days 05:26:00.000000000,0.9,0.1,60
2008-05-18 03:16:00,2008-05-18 08:38:00,0 days 05:22:00.000000000,0.3,0.1,60
2008-05-18 13:59:00,2008-05-18 23:33:00,0 days 09:34:00.000000000,2.6,0.1,60
2008-05-19 12:51:00,2008-05-19 12:52:00,0 days 00:01:00.000000000,0.0,0.1,60
2008-05-19 18:16:00,2008-05-19 19:58:00,0 days 01:42:00.000000000,6.5,0.1,60
2008-05-20 02:53:00,2008-05-20 15:02:00,0 days 12:09:00.000000000,30.0,0.3,720
2008-05-20 19:05:00,2008-05-20 19:15:00,0 days 00:10:00.000000000,0.1,0.2,1080
2008-05-21 18:16:00,2008-05-21 20:22:00,0 days 02:06:00.000000000,0.0,0.2,4320
2008-05-22 01:45:00,2008-05-22 02:17:00,0 days 00:32:00.000000000,0.4,0.2,4320
2008-05-22 20:18:00,2008-05-23 03:03:00,0 days 06:45:00.000000000,1.5,0.2,5760
2008-05-23 08:27:00,2008-05-23 08:27:00,0 days 00:00:00.000000000,0.0,0.2,5760
2008-05-23 17:09:00,2008-05-23 17:09:00,0 days 00:00:00.000000000,0.0,0.2,5760
2008-05-23 21:43:00,2008-05-24 00:32:00,0 days 02:49:00.000000000,1.3,0.2,7200
2008-05-24 14:55:00,2008-05-24 15:43:00,0 days 00:48:00.000000000,1.0,0.2,7200
2008-05-25 14:25:00,2008-05-25 15:14:00,0 days 00:49:00.000000000,0.5,0.2,8640
2008-05-30 19:20:00,2008-05-30 23:12:00,0 days 03:52:00.000000000,0.4,0.1,60
2008-06-01 13:30:00,2008-06-01 13:30:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-06-01 18:56:00,2008-06-02 04:57:00,0 days 10:01:00.000000000,3.9,0.1,60
2008-06-02 14:32:00,2008-06-02 16:00:00,0 days 01:28:00.000000000,0.9,0.1,60
2008-06-02 22:55:00,2008-06-02 23:42:00,0 days 00:47:00.000000000,2.1,0.1,60
2008-06-03 17:25:00,2008-06-03 18:50:00,0 days 01:25:00.000000000,2.5,0.1,60
2008-06-04 04:41:00,2008-06-04 12:33:00,0 days 07:52:00.000000000,2.4,0.1,60
2008-06-04 18:21:00,2008-06-04 20:38:00,0 days 02:17:00.000000000,14.1,0.2,5
2008-06-05 03:50:00,2008-06-06 07:18:00,1 days 03:28:00.000000000,36.5,0.4,1080
2008-06-07 07:00:00,2008-06-09 06:59:00,1 days 23:59:00.000000000,10.1,0.5,8640
2008-06-11 12:00:00,2008-06-11 15:04:00,0 days 03:04:00.000000000,2.7,0.1,60
2008-06-11 23:47:00,2008-06-12 11:37:00,0 days 11:50:00.000000000,5.5,0.1,60
2008-06-12 22:54:00,2008-06-12 23:14:00,0 days 00:20:00.000000000,0.4,0.1,60
2008-06-13 10:41:00,2008-06-13 11:47:00,0 days 01:06:00.000000000,0.1,0.1,60
2008-06-13 16:50:00,2008-06-13 18:08:00,0 days 01:18:00.000000000,0.8,0.1,60
2008-06-15 02:32:00,2008-06-15 02:44:00,0 days 00:12:00.000000000,0.2,0.1,60
2008-06-16 14:06:00,2008-06-16 14:06:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-06-17 09:48:00,2008-06-17 17:21:00,0 days 07:33:00.000000000,2.3,0.1,60
2008-06-17 23:49:00,2008-06-18 06:05:00,0 days 06:16:00.000000000,1.0,0.1,60
2008-06-20 13:34:00,2008-06-20 13:58:00,0 days 00:24:00.000000000,7.1,0.1,60
2008-06-20 21:28:00,2008-06-20 21:58:00,0 days 00:30:00.000000000,1.5,0.1,60
2008-06-23 19:50:00,2008-06-23 23:23:00,0 days 03:33:00.000000000,34.9,5.4,15
2008-06-24 18:02:00,2008-06-24 19:48:00,0 days 01:46:00.000000000,0.9,0.2,1440
2008-06-26 22:40:00,2008-06-27 03:22:00,0 days 04:42:00.000000000,22.3,0.4,5760
2008-06-27 12:14:00,2008-06-27 18:40:00,0 days 06:26:00.000000000,2.6,0.5,5760
2008-06-29 15:02:00,2008-06-29 15:02:00,0 days 00:00:00.000000000,0.0,0.4,8640
2008-06-30 09:15:00,2008-06-30 10:27:00,0 days 01:12:00.000000000,1.5,0.1,60
2008-06-30 14:42:00,2008-06-30 14:42:00,0 days 00:00:00.000000000,0.1,0.1,60
2008-07-04 18:09:00,2008-07-04 18:42:00,0 days 00:33:00.000000000,0.5,0.1,60
2008-07-04 23:48:00,2008-07-05 00:21:00,0 days 00:33:00.000000000,0.1,0.1,60
2008-07-06 13:42:00,2008-07-06 13:42:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-07-06 20:29:00,2008-07-06 22:42:00,0 days 02:13:00.000000000,0.4,0.1,60
2008-07-07 18:45:00,2008-07-07 20:54:00,0 days 02:09:00.000000000,6.6,0.1,60
2008-07-08 12:27:00,2008-07-08 15:01:00,0 days 02:34:00.000000000,3.7,0.1,60
2008-07-10 10:58:00,2008-07-10 10:58:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-07-12 22:10:00,2008-07-12 22:10:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-07-13 10:14:00,2008-07-13 15:11:00,0 days 04:57:00.000000000,4.4,0.1,60
2008-07-14 00:56:00,2008-07-14 21:33:00,0 days 20:37:00.000000000,42.1,0.4,90
2008-07-16 14:06:00,2008-07-16 14:06:00,0 days 00:00:00.000000000,0.0,0.3,4320
2008-07-16 19:21:00,2008-07-16 19:21:00,0 days 00:00:00.000000000,0.0,0.3,5760
2008-07-17 05:05:00,2008-07-17 10:05:00,0 days 05:00:00.000000000,1.4,0.3,5760
2008-07-17 14:14:00,2008-07-18 06:27:00,0 days 16:13:00.000000000,74.6,6.5,120
2008-07-18 12:58:00,2008-07-18 14:55:00,0 days 01:57:00.000000000,0.3,4.5,7200
2008-07-20 17:43:00,2008-07-21 03:55:00,0 days 10:12:00.000000000,27.7,2.8,5760
2008-07-21 08:00:00,2008-07-21 08:57:00,0 days 00:57:00.000000000,0.3,2.7,5760
2008-07-23 21:09:00,2008-07-23 22:29:00,0 days 01:20:00.000000000,0.1,0.2,8640
2008-07-26 10:24:00,2008-07-26 10:26:00,0 days 00:02:00.000000000,0.1,0.1,60
2008-07-26 21:23:00,2008-07-26 21:45:00,0 days 00:22:00.000000000,0.5,0.1,60
2008-07-28 12:59:00,2008-07-28 12:59:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-07-28 19:52:00,2008-07-28 21:59:00,0 days 02:07:00.000000000,8.6,0.1,60
